;-5.00_0.00_-1.00_NH3+_C:;2.00_-1.00_4.00_NH3+_LJ:;4.00_-3.00_-1.00_NH3+_LJ:;5.00_-8.00_-3.00_NH3+_LJ:;5.00_-1.00_1.00_NH3+_LJ:;5.00_0.00_-1.00_NH3+_LJ:;5.00_3.00_3.00_NH3+_LJ:;6.00_-2.00_-1.00_NH3+_LJ:;6.00_-1.00_5.00_NH3+_LJ:;6.00_0.00_2.00_NH3+_LJ:;7.00_-2.00_-2.00_NH3+_LJ:;8.00_-7.00_-4.00_NH3+_LJ:;9.00_-3.00_-2.00_NH3+_LJ:
DFT_K011_;-91.00796305538616;-3.469149048402235;143.18660226862764;-0.1318349688724246;146.85383657898342;134.7306494979805;-1.6945391096413818;139.2430420226898;-1.082981656197593;145.29784617623173;-0.704319412999769;-0.0626512999562012;-0.4048891671715793
DFT_K012_;-90.64557116846274;-3.7744950600187166;143.7828073911921;-0.2138654111665183;146.4577867558724;134.55421791621336;-1.6849117986279605;140.26433244089182;-1.5193943730835338;145.1305248090565;-1.1299567116843277;-0.1112336431139716;-0.8171280908070679
DFT_K014_;-68.39796448672324;-3.584134359558914;142.51912926404705;-0.1576893269776355;160.81797020877343;134.2648053076417;-1.7381241181165552;139.97203619979268;-1.2699300853381026;147.37174035711928;0.087921913358908;-0.0828290599972929;-0.788860180103013
DFT_K020_;-107.3322489824853;-3.513302963371551;143.82522574886477;-1.7960100047227063;145.20772128011353;136.02512254173783;-1.7488945750709286;140.2178597766369;-1.119489373799478;143.45002947388363;21.964268437275106;-1.367062586176513;-1.434495756443246
DFT_K022_;-90.67312455672696;-4.040620397847865;143.3448289487798;-0.418852960971847;147.52387494581637;133.26995630907012;-1.6728672702737657;140.96124411357167;-1.706061992928243;146.47389505822898;-0.5798932044697893;-0.1955756505619822;-1.249942822386515
DFT_K041_;-75.89320091811243;-3.937515799561624;146.7059802277512;-0.3126945620685242;147.03062601177743;133.13572324858097;-1.4883637303069448;175.87548717196816;-1.560560878149806;146.6989222214662;137.3161987238263;-0.1636019934783275;-1.308922289008361
DFT_K044_;-104.92768722704962;-3.4735133356318184;144.45463764972754;-1.0200008561020606;144.22756869453858;137.45389263973576;-1.853055994550963;141.12611805818426;-1.091344709916128;141.7752407357412;141.54084907130533;-0.7456310410320663;14.830473167645629
DFT_K045_;-115.71338257006886;-3.306393481128721;142.50145115929485;-0.3951744807953898;144.3570707950887;131.81004017767495;-1.2002863529953594;146.73853796950345;-0.6602301636185623;131.38130966818994;42.703461955046734;-0.146226824697396;-0.8958981256232492
DFT_K051_;131.77033394977138;-2.4578426791555827;140.40259664288968;-0.2723438544616522;143.9140346197467;134.11501437049097;-1.095374528583111;152.78350725393142;-0.6811098055177419;88.3318165319228;130.17690750310516;-0.1447302865016938;-1.030458628585308
DFT_K052_;-73.45710318969303;-3.15723079806976;142.9614823363226;-0.1882017689461273;145.216899413629;132.44966919242455;-1.1133061455857598;143.9600394862076;-0.5774012220203915;128.31119857994912;21.108619650486308;-0.1007296532099546;-0.7584541118198944
