;2.00_1.00_1.00_NH3+_C:;3.00_-4.00_-1.00_NH3+_C:;4.00_-1.00_1.00_NH3+_C:;5.00_-5.00_-2.00_NH3+_C:;5.00_0.00_1.00_NH3+_C:;-3.00_-3.00_0.00_NH3+_LJ:;-1.00_-3.00_1.00_NH3+_LJ:;2.00_-5.00_-1.00_NH3+_LJ:;4.00_0.00_-4.00_NH3+_LJ:;5.00_1.00_-4.00_NH3+_LJ:;8.00_-5.00_2.00_NH3+_LJ:;8.00_-4.00_-2.00_NH3+_LJ:
DFT_K007_;127.06418383217874;-228.96562756730776;15.442184516769116;10.152846906521532;127.08617312893608;126.60366794851407;-1.7617605267845229;128.43431586529616;-2.697213186666005;-1.1373301407645555;-0.8168907092618494;-1.4547020590533992
DFT_K052_;126.97577238890285;126.64983848900421;87.71340995240763;36.68496633060181;127.1058797141584;126.51047315812065;-0.4019883938872872;126.61147461504268;-2.014056350662873;-0.9689508094532052;-0.7654835621294263;-1.2700266247455312
DFT_K041_;126.66192255653203;122.80581184318476;72.13295598455151;-13.604379738871089;-82.27899621583586;126.57392181824764;-0.8972233544264697;88.41775804208696;-2.3984206365351315;-1.2603678284991295;-1.3392593484686657;-1.9918101047753352
DFT_K001_;126.83489439688492;-28.26908370449705;-85.19505834243282;16.57304122727136;126.50716679708728;126.74849234504684;-1.7460360677334446;127.8008201330196;-2.322331323658237;-0.9293393391612864;-0.2696890195937772;-0.5618149642681938
DFT_K005_;82.30404647198921;122.1150670673496;-49.67030384362615;27.41180259068851;-367.9184552268538;126.66273176649828;-0.5226912653884807;125.41233152880767;-1.9046690976316227;-0.9629517588821328;-0.2925341191237647;-0.4371358718361408
DFT_K004_;127.04319356507989;126.67274551491774;92.28438824038194;54.13139759550587;-527.7423541384301;126.74605754183592;-0.3405692525984856;126.39896061612257;-1.825374122221864;-0.8731401165987978;-0.2272246940320728;-0.3834541701545269
DFT_K053_;126.81838921102424;-92.03051303354825;5.715787152306604;-18.0750729622128;127.04271816635527;65.89479993149085;-0.7355693504534083;128.5052916120121;-2.295661283461875;-1.0628383724066612;-0.8148672211650086;-1.4100344750204534
DFT_K092_;46.10691403414721;126.9204125227466;42.74105189391816;126.2985595843615;-150.98581898666873;126.49262129737546;9.520296431142546;127.37622384000119;-2.7958598209218724;-1.8112331015812075;10.986891156229138;129.31142961818125
DFT_K099_;126.81344207555199;90.30819766966502;29.08496922035156;16.454979383745645;-84.62236245531304;115.7439495657744;85.05194152595863;9.023645803212744;-2.266555611173896;-1.1342510996838953;-0.8475749697032626;-1.3315039916947422
DFT_K011_;126.67050845439793;126.70171899846291;70.24822968714773;20.746244515309883;-274.12293861653893;126.76015009599541;0.0284491389769777;126.75554046746744;-2.0289279720247992;-1.0641053861388616;-0.3924982311232824;-0.6686699765887191
DFT_K051_;55.37763358760654;20.145817032348596;86.5670845085308;5.091978910583711;93.1176268107233;128.30688974651983;127.73847967887619;-2.515909292711538;-0.4378140123638983;-1.9578890739107804;-0.6534147030250114;-1.5166324947837555
DFT_K022_;126.00847417876768;123.530275426111;9.999347356352713;2.456074376176886;-173.9232021658687;126.6098185635604;-0.7988653442077578;102.03032646049256;-2.220692275693996;-1.1365234515305656;8.144030903004055;-0.5304856777992301
DFT_K089_;127.07027650264848;126.93254716833265;64.14439163678969;57.77653311333069;126.95405294001317;126.65574041026909;-0.9964811602674128;27.947315360041447;-1.8925063282235528;-0.8493682934749919;-0.338600406648418;-0.5653209514286339
